"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","19","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора 2","Нагрузка процессора 2",""
"passed","Mon Oct 11 14:43:42 MSK 2021","Mon Oct 11 14:43:50 MSK 2021","8142","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка ввода суммы больше чем баланс счета","Проверка ввода суммы больше чем баланс счета",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","12","","Лайв трансляции и eventView","","Лайв трансляции и eventView","Проверка отображения всех видов трансляций лайф событий ","Проверка отображения всех видов трансляций лайф событий ",""
"passed","Mon Oct 11 14:52:19 MSK 2021","Mon Oct 11 14:52:29 MSK 2021","9962","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Тест фильтра в вертикальном положении","Тест фильтра в вертикальном положении",""
"failed","Mon Oct 11 14:51:45 MSK 2021","Mon Oct 11 14:52:01 MSK 2021","16583","","Запросы на выплату","","Запросы на выплату","Проверка карточки заявки","Проверка карточки заявки",""
"passed","Mon Oct 11 14:51:34 MSK 2021","Mon Oct 11 14:51:45 MSK 2021","10962","","Запросы на выплату","","Запросы на выплату","Проверка фильтра","Проверка фильтра",""
"failed","Mon Oct 11 14:49:49 MSK 2021","Mon Oct 11 14:50:10 MSK 2021","20358","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Мегафон","Проверка открытия страницы пополнения через Мегафон",""
"failed","Mon Oct 11 14:50:10 MSK 2021","Mon Oct 11 14:50:36 MSK 2021","26140","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Билайн","Проверка открытия страницы пополнения через Билайн",""
"failed","Mon Oct 11 14:46:26 MSK 2021","Mon Oct 11 14:46:44 MSK 2021","18579","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Максимальной суммы ставки","Проверка Максимальной суммы ставки",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","30","","Тесты на главной странице","","Тесты на главной странице","Ставки из Ставки дня","Ставки из Ставки дня",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","13","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка переоткрытия заявки","Проверка переоткрытия заявки",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","20","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы вкладки Операции в Личном кабинете пользователя","Проверка работы вкладки Операции в Личном кабинете пользователя",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","17","","Лайв трансляции и eventView","","Лайв трансляции и eventView","Функционал EventView в Лайв событиях","Функционал EventView в Лайв событиях",""
"failed","Mon Oct 11 14:44:45 MSK 2021","Mon Oct 11 14:45:04 MSK 2021","18196","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка Системы и калькулятора","Проверка Системы и калькулятора",""
"passed","Mon Oct 11 14:43:34 MSK 2021","Mon Oct 11 14:43:42 MSK 2021","8026","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка любимой ставки и подстановки старой","Проверка любимой ставки и подстановки старой",""
"skipped","Mon Oct 11 14:51:23 MSK 2021","Mon Oct 11 14:51:23 MSK 2021","10","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на карту","Выплата на карту",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","12","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по номеру","Проверка сортировки по номеру",""
"passed","Mon Oct 11 14:44:00 MSK 2021","Mon Oct 11 14:44:14 MSK 2021","13635","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка сворачивания ставки из ленты купонов","Проверка сворачивания ставки из ленты купонов",""
